City,Price,Price_clean
Calamba,"₱ 3,395,180",3395180.0
Calamba,"₱ 5,170,760",5170760.0
Calamba,"₱ 2,817,480",2817480.0
Calamba,"₱ 4,791,390",4791390.0
Calamba,"₱ 2,270,520",2270520.0
Calamba,"₱ 3,212,860",3212860.0
Calamba,"₱ 3,500,000",3500000.0
Calamba,"₱ 8,753,712",8753712.0
Calamba,"₱ 8,003,232",8003232.0
Calamba,"₱ 3,714,770",3714770.0
Calamba,"₱ 10,557,932",10557932.0
Calamba,"₱ 3,493,230",3493230.0
Calamba,"₱ 6,113,580",6113580.0
Batangas City,"₱ 12,152,500",12152500.0
Batangas City,"₱ 11,174,000",11174000.0
Batangas City,"₱ 10,600,000",10600000.0
Batangas City,"₱ 9,900,000",9900000.0
Batangas City,"₱ 25,000,000",25000000.0
Batangas City,"₱ 4,809,000",4809000.0
Batangas City,"₱ 25,000,000",25000000.0
Batangas City,"₱ 25,000,000",25000000.0
Batangas City,"₱ 4,571,000",4571000.0
Batangas City,"₱ 5,097,000",5097000.0
Batangas City,"₱ 4,571,000",4571000.0
Batangas City,"₱ 4,400,000",4400000.0
Batangas City,"₱ 4,571,000",4571000.0
Batangas City,"₱ 5,681,060",5681060.0
Batangas City,"₱ 6,467,340",6467340.0
Batangas City,"₱ 6,605,040",6605040.0
Batangas City,"₱ 6,605,040",6605040.0
Batangas City,"₱ 6,605,040",6605040.0
Batangas City,"₱ 6,605,040",6605040.0
Batangas City,"₱ 7,005,040",7005040.0
Batangas City,"₱ 7,005,040",7005040.0
Batangas City,"₱ 7,005,040",7005040.0
Batangas City,"₱ 7,005,040",7005040.0
Batangas City,"₱ 10,536,780",10536780.0
Batangas City,"₱ 10,536,780",10536780.0
Cainta,"₱ 12,845,500",12845500.0
Cainta,"₱ 10,624,200",10624200.0
Cainta,"₱ 17,000,000",17000000.0
Cainta,"₱ 50,000,000",50000000.0
Cainta,"₱ 26,000,000",26000000.0
Cainta,"₱ 15,000,000",15000000.0
Cainta,"₱ 27,000,000",27000000.0
Cainta,"₱ 30,000,000",30000000.0
Cainta,"₱ 32,500,000",32500000.0
