cat__team_Alpine Renault,cat__team_Aston Martin Aramco Mercedes,cat__team_Ferrari,cat__team_McLaren,cat__team_McLaren Mercedes,cat__team_McLaren Renault,cat__team_Mercedes,cat__team_Red Bull Racing,cat__team_Red Bull Racing Honda,cat__team_Red Bull Racing Honda RBPT,cat__team_Red Bull Racing RBPT,cat__team_Renault,cat__team_Williams,cat__team_Williams Mercedes,cat__team_infrequent_sklearn,cat__Direction_Anti-clockwise,cat__Direction_Clockwise,num__Consistency_Qual,num__Style_Qual,num__Technical_Qual,num__Pace_Qual,PerformanceIndex_Qual,num__Round,num__year,num__QualifyingPosition,num__Laps,num__Corners,num__Circuit length (km),num__Race distance (km),num__Accident,num__Collision,num__Damage Related,num__Finish,num__Total_Entries,num__Finish_pct,num__Accident_pct,num__Collision_pct,num__Damage Related_pct,num__DNF_pct,num__Race_Complexity_Score,num__Safety_Index,num__mechanical_faults,num__avg_stops_per_car_race,num__avg_pitstop_ms,Actual,Predicted,driver_code,GrandPrix,year,team,RaceFinishPosition
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.245000616,0.009039913,0.909620478,0.863636364,0.506824342,6.0,2025.0,4.0,57.0,19.0,5.41,308.326,0.0,3.0,0.0,52.0,55.0,94.54545454545456,0.0,5.454545454545454,0.0,5.454545454545453,0.2990909090909091,0.6463636363636364,0.0,1.891619661520753,160011.28021529358,1,0,PIA,Miami Grand Prix,2025,McLaren,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.147614567,0.519646041,0.5,0.291815152,3.0,2025.0,12.0,53.0,18.0,5.807,307.471,7.0,5.0,0.0,89.0,101.0,88.11881188118812,6.930693069306932,4.950495049504951,0.0,11.881188118811878,0.4176237623762375,0.4635643564356436,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Japanese Grand Prix,2025,Williams,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.511745136,0.440012617,0.548472508,0.96875,0.617245065,10.0,2025.0,2.0,70.0,14.0,4.361,305.27,3.0,11.0,0.0,88.0,102.0,86.27450980392157,2.941176470588235,10.784313725490197,0.0,13.725490196078423,0.4145098039215685,0.4482352941176472,0.0,1.891619661520753,160011.28021529358,1,1,VER,Canadian Grand Prix,2025,Red Bull Racing,2.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.254063427,0.202592706,0.403173835,0.8,0.414957492,12.0,2025.0,5.0,52.0,18.0,5.891,306.198,6.0,18.0,0.0,130.0,154.0,84.4155844155844,3.896103896103896,11.688311688311687,0.0,15.584415584415597,0.4916883116883117,0.3524675324675324,0.0,1.891619661520753,160011.28021529358,0,0,HAM,British Grand Prix,2025,Ferrari,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.657832223,0.492138553,0.383930431,0.884615385,0.604629148,8.0,2025.0,4.0,78.0,19.0,3.337,260.286,11.0,13.0,0.0,98.0,122.0,80.32786885245902,9.01639344262295,10.655737704918032,0.0,19.67213114754098,0.5834426229508196,0.2198360655737705,0.0,1.891619661520753,160011.28021529358,0,0,HAM,Monaco Grand Prix,2025,Ferrari,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.065435654,0.580130063,0.283352526,0.722222222,0.412785116,5.0,2025.0,6.0,50.0,27.0,6.174,308.45,3.0,5.0,0.0,53.0,61.0,86.88524590163934,4.918032786885246,8.19672131147541,0.0,13.114754098360663,0.5322950819672132,0.3365573770491802,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Saudi Arabian Grand Prix,2025,Williams,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.064981522,0.423588421,0.5,0.497142486,9.0,2025.0,18.0,66.0,14.0,4.655,307.104,1.0,10.0,0.0,85.0,96.0,88.54166666666666,1.0416666666666663,10.416666666666668,0.0,11.458333333333345,0.3691666666666668,0.5162499999999997,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Spanish Grand Prix,2025,Williams,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.202601548,0.42814692,0.533333333,0.54102045,13.0,2025.0,15.0,44.0,19.0,7.004,308.052,8.0,6.0,1.0,163.0,178.0,91.57303370786516,4.49438202247191,3.3707865168539324,0.5617977528089888,8.426966292134836,0.3585393258426967,0.5571910112359548,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Belgian Grand Prix,2025,Williams,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.740149478,0.509777429,0.268276592,0.5,0.504550875,16.0,2025.0,13.0,53.0,11.0,5.793,306.72,2.0,6.0,0.0,126.0,134.0,94.02985074626866,1.4925373134328357,4.477611940298507,0.0,5.970149253731336,0.2294029850746267,0.7108955223880599,0.0,1.891619661520753,160011.28021529358,0,0,SAI,Italian Grand Prix,2025,Williams,11.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.319817132,0.597540914,0.5,0.604339511,19.0,2025.0,9.0,56.0,20.0,5.513,308.405,4.0,10.0,1.0,99.0,114.0,86.8421052631579,3.508771929824561,8.771929824561402,0.8771929824561403,13.157894736842096,0.463157894736842,0.4052631578947371,0.0,1.891619661520753,160011.28021529358,0,0,SAI,United States Grand Prix,2025,Williams,20.0
