race_name,year,Total_Entries,Race_Complexity_Score,Safety_Index,Accident,Collision,Mechanical or Physical Fault,Disqualification,Behind on Laps,Damage Related,Finish
Malaysian Grand Prix,2017,20.0,0.09000000000000001,0.91,0.0,0.0,2.0,0.0,12.0,0.0,6.0
Mexican Grand Prix,2017,20.0,0.13,0.87,0.0,0.0,5.0,0.0,11.0,0.0,4.0
Monaco Grand Prix,2017,20.0,0.13,0.87,2.0,3.0,2.0,0.0,0.0,0.0,13.0
Russian Grand Prix,2017,20.0,0.11000000000000001,0.89,0.0,2.0,2.0,0.0,8.0,0.0,8.0
Singapore Grand Prix,2017,20.0,0.15500000000000003,0.845,5.0,1.0,2.0,0.0,1.0,0.0,11.0
Spanish Grand Prix,2017,20.0,0.14,0.86,0.0,3.0,1.0,0.0,13.0,0.0,3.0
United States Grand Prix,2017,20.0,0.10999999999999999,0.89,0.0,1.0,3.0,0.0,9.0,0.0,7.0
Abu Dhabi Grand Prix,2018,20.0,0.11500000000000002,0.885,0.0,1.0,4.0,0.0,7.0,0.0,8.0
Australian Grand Prix,2018,20.0,0.08,0.92,0.0,0.0,5.0,0.0,1.0,0.0,14.0
Austrian Grand Prix,2018,20.0,0.15,0.85,0.0,1.0,5.0,0.0,11.0,0.0,3.0
Azerbaijan Grand Prix,2018,20.0,0.135,0.865,2.0,4.0,1.0,0.0,0.0,0.0,13.0
Bahrain Grand Prix,2018,20.0,0.1,0.9,0.0,0.0,3.0,0.0,11.0,0.0,6.0
Belgian Grand Prix,2018,20.0,0.12000000000000002,0.88,3.0,0.0,2.0,0.0,6.0,0.0,9.0
Brazilian Grand Prix,2018,20.0,0.08,0.92,0.0,1.0,1.0,0.0,9.0,0.0,9.0
British Grand Prix,2018,20.0,0.10500000000000001,0.895,1.0,2.0,3.0,0.0,0.0,0.0,14.0
Canadian Grand Prix,2018,20.0,0.11000000000000001,0.89,0.0,2.0,1.0,0.0,11.0,0.0,6.0
Chinese Grand Prix,2018,20.0,0.02,0.98,0.0,1.0,0.0,0.0,0.0,0.0,19.0
French Grand Prix,2018,20.0,0.11000000000000001,0.89,0.0,2.0,3.0,0.0,5.0,0.0,10.0
German Grand Prix,2018,20.0,0.09,0.91,1.0,0.0,4.0,0.0,2.0,0.0,13.0
Hungarian Grand Prix,2018,20.0,0.1,0.9,0.0,0.0,3.0,0.0,11.0,0.0,6.0
Italian Grand Prix,2018,20.0,0.095,0.905,0.0,0.0,3.0,1.0,8.0,0.0,8.0
Japanese Grand Prix,2018,20.0,0.09,0.91,0.0,1.0,2.0,0.0,8.0,0.0,9.0
Mexican Grand Prix,2018,20.0,0.12000000000000002,0.88,0.0,0.0,4.0,0.0,12.0,0.0,4.0
Monaco Grand Prix,2018,20.0,0.075,0.925,0.0,2.0,1.0,0.0,4.0,0.0,13.0
Russian Grand Prix,2018,20.0,0.085,0.915,0.0,0.0,2.0,0.0,11.0,0.0,7.0
Singapore Grand Prix,2018,20.0,0.08,0.92,0.0,1.0,0.0,0.0,12.0,0.0,7.0
Spanish Grand Prix,2018,20.0,0.15,0.85,0.0,3.0,3.0,0.0,9.0,0.0,5.0
United States Grand Prix,2018,20.0,0.12500000000000003,0.875,0.0,3.0,1.0,2.0,6.0,0.0,8.0
Abu Dhabi Grand Prix,2019,20.0,0.08,0.92,0.0,0.0,1.0,0.0,13.0,0.0,6.0
Australian Grand Prix,2019,20.0,0.10500000000000001,0.895,0.0,0.0,2.0,0.0,11.0,1.0,6.0
Austrian Grand Prix,2019,20.0,0.075,0.925,0.0,0.0,0.0,0.0,15.0,0.0,5.0
Azerbaijan Grand Prix,2019,20.0,0.10500000000000001,0.895,0.0,2.0,2.0,0.0,7.0,0.0,9.0
Bahrain Grand Prix,2019,20.0,0.09,0.91,0.0,1.0,3.0,0.0,5.0,0.0,11.0
Belgian Grand Prix,2019,20.0,0.1,0.9,2.0,0.0,2.0,0.0,6.0,0.0,10.0
Brazilian Grand Prix,2019,20.0,0.075,0.925,0.0,2.0,2.0,0.0,1.0,0.0,15.0
British Grand Prix,2019,20.0,0.08,0.92,1.0,2.0,0.0,0.0,4.0,0.0,13.0
Canadian Grand Prix,2019,20.0,0.1,0.9,0.0,1.0,1.0,0.0,13.0,0.0,5.0
Chinese Grand Prix,2019,20.0,0.11000000000000001,0.89,0.0,2.0,1.0,0.0,11.0,0.0,6.0
